"country","InternetUsersNumberOfInternetUsers","InternetTraffic12-31-2020","InternetTrafficPercofResidentsWithInternetAccess"
"India",833710000,749342381,59.5
"China",1010740000,989080566,69.8
"United States",312320000,312322257,93.4
"Indonesia",212354070,196400000,76.3
"Pakistan",116000000,76380000,50.9
"Nigeria",154301195,154301195,73
"Brazil",178100000,149057635,
"Bangladesh",129180000,111875000,77.2
"Russia",124630000,116353942,85.3
"Ethiopia",21147255,21147255,17.7
"Mexico",110400000,85000000,84.2
"Japan",118626672,118626672,93.3
"Philippines",101900000,86300000,91
"Egypt",54741493,54741493,51.9
"DR Congo",16355917,16355917,17.4
"Vietnam",84919500,71540000,86
"Iran",78086663,67602731,91
"Turkey",72500000,69107183,84.5
"Germany",79127551,79127551,94
"Thailand",61900000,57000000,30.4
"Tanzania",23142960,23142960,37.6
"United Kingdom",65045228,63544106,95
"France",60421689,60421689,92.2
"South Africa",34545165,34545165,57.5
"Italy",54798299,54798299,90.8
"Kenya",46870422,46870422,85.2
"Myanmar",28530000,28530000,51.9
"Colombia",43416500,31275567,83.9
"South Korea",49799909,49234329,97
"Uganda",18502166,18502166,39.3
"Sudan",13124100,13124100,29.2
"Spain",43509182,42961230,93
"Iraq",31027400,24525000,74.3
"Algeria",37836425,25428159,83.8
"Argentina",42000000,41586960,91.6
"Afghanistan",9237489,7337489,22.9
"Poland",34697848,29757099,91.5
"Canada",37133414,33221435,97
"Morocco",25589581,25589581,68.5
"Ukraine",40912381,40912381,94.5
"Angola",8980670,8980670,26
"Saudi Arabia",35005034,31856652,98
"Uzbekistan",17161534,17161534,50.1
"Yemen",8353377,7903772,27
"Mozambique",6523613,6523613,20.3
"Ghana",14767818,14767818,45.9
"Peru",29601700,22000000,87.8
"Malaysia",30987000,29161765,93.8
"Nepal",21900000,21900000,73
"Madagascar",2864000,2864000,10.1
"Ivory Coast",12253653,12253653,44.6
"Venezuela",22735000,17178743,78.7
"Cameroon",9158422,7878422,33.1
"Niger",3363848,3363848,13.4
"Australia",23391152,21711706,90
"North Korea",20000,20000,0.1
"Syria",8500000,8500000,46.6
"Mali",12480176,12480176,59.8
"Taiwan",22639500,22042902,94.8
"Burkina Faso",4594265,4594265,21
"Sri Lanka",8879700,7613000,41.2
"Malawi",2717243,2717243,13.8
"Zambia",9870427,9870427,52.2
"Kazakhstan",16465777,14669853,86
"Chile",18835100,14108392,97.2
"Romania",14845869,14387477,78
"Chad",2237932,2237932,13
"Somalia",2089900,2089900,12.8
"Ecuador",15769600,13476687,87.2
"Guatemala",10750400,7268597,58.2
"Senegal",9749527,9749527,56.7
"Netherlands",16383879,16383879,95.3
"Cambodia",13875400,11786000,81.1
"Zimbabwe",8400000,8400000,55.7
